Node.ID,sp.ID,stageID,Stage,Sp.stage,Name.Sp.stage,Presence.code,Type,Organismal.Group,Working.Group,WorkingName,Phylum,Class,Order,Family,Genus,Specific.epithet,Sp.name,Resolution,Habitat_Site,Consumer.Strategy,Consumer.Type,Mobility,Life.Cycle,Confidence.in.Node,Justification.Code,thermal.province,Localities,Ref.ID,Northern.Eastern.Pacific.Range.Limit,Southern.Eastern.PacificRange.Limit,Additional.Localities,Synonomy,Fishbase.OR.WoRMS.SearchTerms,biosis.diet.search.terms,NHM.Search.Terms,Google.Scholar.PS.Search.Terms,biosis.SearchTerms,BIOSIS.PS.records,NHM.records,FishPest,Biosis.host.only.terms,Biosis.host.only.records,NHM.host.count
151,118,1,Adult,118.1,Tritella.laevis.118.1,L,free.living,Crustacea,amphipod,caprellid,Arthropoda,Malacostraca,Amphipoda,Aeginellidae,Tritella,laevis,Tritella.laevis,Species,benthic substrate,Detritivore,Predator,Mobile,3,2,3,cold,"Catalina Island, Channel Islands, CA, USA",406; 407,"British Columbia, Canada ","Southern California Bight, CA, USA",,none,,,Tritella,Tritella parasit*,Tritella,0,0,NA,Tritella,0,NA
152,118,4,juvenile,118.4,Tritella.laevis.118.4,L,free.living,Crustacea,amphipod,caprellid,Arthropoda,Malacostraca,Amphipoda,Aeginellidae,Tritella,laevis,Tritella.laevis,Species,benthic substrate,Detritivore,Predator,Mobile,3,3,12,cold,"Catalina Island, Channel Islands, CA, USA",406; 407,"British Columbia, Canada ","Southern California Bight, CA, USA",,none,,,,,,NA,,NA,,,NA
153,119,1,Adult,119.1,Lysianassa.macromerus.119.1,L,free.living,Crustacea,amphipod,lysianassid,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Lysianassa,macromerus,Lysianassa.macromerus,Family,benthic substrate,Scavenger,Predator,Mobile,5,1,3,unknown,"Goleta, CA, USA; Catalina Island, Channel Islands, CA, USA",1078; 406,"Cayucos, San Luis Obispo County, CA, USA","Cabo San Lucas, Baja California Sur, Mexico",,"Aruga macromerus, Lysianopsis macromerus, Macronassa macromera (accepted)",,,na,Lysianassid parasit,Lysianass* SAME parasit*,8,na,NA,Lysianassid,193,NA
154,120,1,Adult,120.1,Menesiniella.aquila.120.1,L,free.living,Crustacea,barnacle,acorn barnacle,Arthropoda,Hexanauplia,Sessilia,Balanidae,Menesiniella,aquila,Menesiniella.aquila,Species,rock,Filter,Predator,Sessile,1,1,1,warm,"Santa Barbara Channel, CA, USA",693,"San Francisco, CA, USA","San Diego, CA, USA",,"Balanus aquila
",,,"Menesiniella, Balanus","""Balanus aquila"" parasit*","Menesiniella, Balanus SAME aquila SAME parasit*, Menesiniella parasit*",NA,7,NA,"""Balanus aquila"", Menesiniella",34,NA
155,121,1,Adult,121.1,Megabalanus.californicus.121.1,L,free.living,Crustacea,barnacle,California barnacle,Arthropoda,Hexanauplia,Sessilia,Balanidae,Megabalanus,californicus,Megabalanus.californicus,Species,rock,Filter,Predator,Sessile,1,1,1; 3,warm,"Santa Barbara Channel, CA, USA",1068,"Humboldt Bay, CA, USA",Mexico,,none,Megabalanus californicus,,Megabalanus,Megabalanus californicus parasit*,Megabalanus SAME parasit*,5,0,NA,Megabalanus,211,NA
156,122,1,adult,122.1,Armatobalanus.nefrens.122.1,L,symbiont,Crustacea,barnacle,hydrocoral barnacle,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Armatobalanus,nefrens,Armatobalanus.nefrens,Species,External.Host,Filter,Predator,Sessile,1,2,3,both,"Carmel Bay, CA, USA; Santa Catalina Island, CA, USA",752; 693,"Monterey, CA, USA","Channel Islands, CA, USA",,"Armatobalanus (Armatobalanus) nefrens (Zullo, 1963) ; Balanus nefrens (not in Worms)",,,,,,NA,NA,NA,NA,NA,NA
157,123,1,Adult,123.1,Conopea.galeata.123.1,L,symbiont,Crustacea,barnacle,gorgonean barnacle,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Conopea,galeata,Conopea.galeata,Species,External.Host,Filter,Predator,Sessile,1,1,1,warm,"Santa Barbara Channel, CA, USA",693,"Monterey, CA, USA","Southern Mexico, Mexico",,"Balanus galeatus (Linneaus, 1771)",,,Conopea,Conopea galeata parasit*,Conopea SAME parasit*,0,0,NA,Conopea galeata,5,NA
158,124,1,Adult,124.1,Membranobalanus.orcutti.124.1,L,symbiont,Crustacea,barnacle,sponge barnacle,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Membranobalanus,orcutti,Membranobalanus.orcutti,Species,External.Host,Filter,Predator,Sessile,1,1,1; 3,warm,"Southern California, CA, USA",1032,"Point Conception, CA, USA","Baja California, Mexico",,none,,,Membranobalanus,Membranobalanus parasit*,Membranobalanus SAME parasit*,1,0,NA,Membranobalanus,16,NA
159,125,1,Adult,125.1,Isocheles.pilosus.125.1,L,free.living,Crustacea,hermit,moon snail hermit,Arthropoda,Malacostraca,Decapoda,Diogenidae,Isocheles,pilosus,Isocheles.pilosus,Species,sand,Scavenger,Predator,Mobile,1,1,1,warm,"Santa Barbara Channel, CA, USA",407,"Bodega Harbor, CA, USA","Baja California, Mexico",,Holopagurus pilosus,,,Isocheles,Isocheles pilosus parasit*,Isocheles SAME parasit*,0,0,NA,Isocheles,18,NA
160,126,1,Adult,126.1,Paguristes.ulreyi.126.1,L,free.living,Crustacea,hermit,furry hermit,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes,ulreyi,Paguristes.ulreyi,Species,rock,Scavenger,Predator,Mobile,1,1,1; 3,both,"CA, USA",1015,,,,Paguristes occator,,,Paguristes,"Paguristes ulreyi parasit*, Paguristes parasit*",(Paguristes SAME parasit*),5,0,NA,Paguristes,102,NA
161,127,1,Adult,127.1,Pagurus.samuelis.127.1,L,free.living,Crustacea,hermit,blue banded hermit,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,samuelis,Pagurus.samuelis,species,Holdfast,Scavenger,Predator,Mobile,1,1,1,both,"Santa Barbara Channel, CA, USA",693,"British Columbia, Canada ","Baja California, Mexico",,Eupagurus samuelis,,,"Pagurus, Eupagurus","Pagurus samuelis parasit*, Eupagurus samuelis parasit*",Pagurus SAME samuelis SAME parasit*,0,14,NA,"Pagurus SAME samuelis, Eupagurus SAME samuelis",16,NA
162,128,1,Adult,128.1,Cirolana.diminuta.128.1,L,free.living,Crustacea,isopod,cirolana isopod,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Cirolana,diminuta,Cirolana.diminuta,Species,benthic substrate,Scavenger,Micropredator,Mobile,5,1,1; 3,warm,"Santa Barbara Channel, CA, USA",407,"Point Conception, CA, USA","Baja California, Mexico",,none,,,Cirolana,cirolana parasit*,cirolana SAME parasit*,3,1,NA,Cirolana,86,NA
163,129,1,Adult,129.1,Cirolana.harfordi.129.1,L,free.living,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Cirolana,harfordi,Cirolana.harfordi,Species,benthic substrate,Scavenger,Predator,Mobile,5,1,1; 3,cold,"Southern California, CA, USA",962; 407; 406,"British Columbia, Canada ",Mexico,,"Aega harfordi Lockington, 1877",,,"Cirolana, Aega","cirolana parasit*, aega parasit*","cirolana SAME parasit*, aega SAME parasit*",10,1,NA,"Aega, Cirolana",132,NA
164,130,1,Adult,130.1,Dynamenella.sp..130.1,L,free.living,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Dynamenella,sp.,Dynamenella.sp.,Genus,Holdfast,Herbivore,Micropredator,Mobile,5,1,1; 3,both,"Southern California, CA, USA",406,"OR, USA","Baja California, Mexico",,na,,,Dynamenella,Dynamenella parasit*,Dynamenella SAME parasit*,0,0,NA,Dynamenella,10,NA
165,131,1,Adult,131.1,Excorallana.truncata.131.1,L,free.living,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Corallanidae,Excorallana,truncata,Excorallana.truncata,Species,benthic substrate,Predator,Micropredator,Mobile,5,2,3,warm,"Southern California, CA, USA",153; 407,"Point Conception, CA, USA","Galapagos Islands, Ecuador",,"Excorallana kathyae, E. truncata, Corallana truncata Richardson, 1899 (basionym), Excorailana (misspelling?)",,,"Excorallana, Corallana","corallana parasit*, exocorallana parasit*","Corallana SAME parasit*, exocorallana SAME parasit*",1,0,NA,"Excorallana, Corallana",3,NA
166,132,1,Adult,132.1,Exosphaeroma.rhomburum.132.1,L,free.living,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Exosphaeroma,rhomburum,Exosphaeroma.rhomburum,Species,sand,Herbivore,Predator,Mobile,5,2,3,unknown,"Catalina Island, Channel Islands, CA, USA",406; 407,"AK, USA","Baja California, Mexico",,"Sphaeroma rhomburum Richardson, 1899",,,"Exosphaeroma, Sphaeroma",Exosphaeroma parasit*; sphaeroma parasit*,"Exosphaeroma SAME parasit*, Sphaeroma SAME parasit*",6,4,NA,Exosphaeroma,33,NA
167,133,1,Adult,133.1,Ianiropsis.sp..133.1,L,free.living,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Janiridae,Ianiropsis,sp.,Ianiropsis.sp.,genus,benthic substrate,Detritivore,Predator,Mobile,5,1,3,Both,"Catalina Island, Channel Islands, CA, USA",167,"British Columbia, Canada ","Baja California, Mexico",,na,,,Ianiropsis,Ianiropsis parasit*,Ianiropsis SAME parasit*,0,0,NA,Ianiropsis,8,NA
168,134,1,Adult,134.1,Joeropsis.dubia.134.1,L,free.living,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Joeropsididae,Joeropsis,dubia,Joeropsis.dubia,Species,benthic substrate,Detritivore,Predator,Mobile,5,1,3,warm,"CA, USA",406; 118,"Marin County, CA, USA","Baja California, Mexico",,Jaeropsis,,,"Joeropsis, Jaeropsis","Joeropsis parasit*, Jaeropsis parasit*",Joeropsis SAME parasit*,0,0,NA,"Joeropsis, Jaeropsis",10,NA
169,135,1,Adult,135.1,Limnoria.algarum.135.1,L,symbiont,Crustacea,isopod,gribble isopod,Arthropoda,Malacostraca,Isopoda,Limnoriidae,Limnoria,algarum,Limnoria.algarum,Species,Holdfast,Herbivore,Micropredator,Mobile,1,1,1; 3,both,"CA, USA",693; 407,"OR, USA","Baja California, Mexico",,none,,,Limnoria,Limnoria parasit*,Limnoria SAME parasit*,0,0,NA,Limnoria,116,NA
170,136,1,Adult,136.1,Munna.sp..136.1,L,free.living,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Munnidae,Munna,sp.,Munna.sp.,Genus,benthic substrate,Detritivore,Predator,Mobile,5,1,3,both,"CA, USA",406,"British Columbia, Canada ","Baja California, Mexico",,na,,,Munna,Munna parasit*,Munna SAME parasit*,1,0,NA,Munna,17,NA
171,137,1,Adult,137.1,Paracerceis.cordata.137.1,L,free.living,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Paracerceis,cordata,Paracerceis.cordata,Species,benthic substrate,Herbivore,Micropredator,Mobile,5,1,3,both,"Catalina Island, Channel Islands, CA, USA",406; 407; 120,"AK, USA","Southern California, CA, USA",,"paracerces (possible misspelling), Cilicaea cordata Richardson, 1899 ",,,"Paracerceis, Cilicaea","Paracerceis parasit*, Cilicaea parasit*","Cilicaea SAME parasit*, Paracerceis SAME parasit*",2,0,NA,"Paracerceis, Cilicaea",62,NA
172,138,1,Adult,138.1,Pentidotea.resecata.138.1,L,free.living,Crustacea,isopod,idotea,Arthropoda,Malacostraca,Isopoda,Idoteidae,Pentidotea,resecata,Pentidotea.resecata,Species,kelp-fronds,Herbivore,Micropredator,Mobile,5,1,1; 3,both,"CA, USA",693; 1081; 406; 407,"AK, USA","Baja California, Mexico",,Idotea resecata,,,"Pentidotea, Idotea","idotea SAME parasit*, pentidotea SAME parasit*","Idotea SAME parasit*, Pentidotea SAME parasit*",4,4,NA,"Pentidotea, Idotea",460,NA
173,139,1,Adult,139.1,Gnathia.stevensi.139.1,L,free.living,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Gnathia,stevensi,Gnathia.stevensi,Family,benthic substrate,non-feeding,non-feeding,Mobile,3,1,1; 3,warm,"Southern California, CA, USA; Mohawk Reef, Santa Barbara Channel, CA, USA; Santa Barbara, CA, USA",1080,"Rendondo Beach, CA, USA","Baja California, Mexico",,none ,,,Gnathia,gnathia parasite,Gnathia SAME parasit*,71,0,NA,Gnathia,119,NA
174,139,4,juvenile,139.4,Gnathia.stevensi.139.4,L,symbiont,Crustacea,isopod,isopod,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Gnathia,stevensi,Gnathia.stevensi,Family,External.Host,MicroPredator,Micropredator,Mobile,3,1,1; 3,warm,"Southern California, CA, USA; Santa Barbara Channel, CA, USA",204; 462; 586; 487; 406,"Rendondo Beach, CA, USA","Baja California, Mexico",,none ,,,,,,NA,NA,NA,NA,NA,NA
175,140,1,Adult,140.1,Cancer.antennarius.140.1,L,free.living,Crustacea,large crab,brown rock crab,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,antennarius,Cancer.antennarius,Species,benthic substrate,Predator,Predator,Mobile,4,1,1; 3,both,"Santa Barbara Channel, CA, USA",204; 406,"OR, USA","Baja California, Mexico",,"Romaleon antennarium, Cancer antennarium",Romaleon antennarium,,"Romaleon antennarium, Cancer antennarium, Cancer antennarius",,"(Romaleon SAME antennarium SAME parasit*), (Cancer SAME antennarius SAME parasit*), (Cancer SAME antennarium SAME parasit*)",1,,NA,"(Cancer SAME antennarius), (Cancer SAME antennarium), (Romaleon SAME antennarium)",113,NA
176,140,4,juvenile,140.4,Cancer.antennarius.140.4,L,free.living,Crustacea,large crab,brown rock crab,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,antennarius,Cancer.antennarius,Species,benthic substrate,Predator,Predator,Mobile,4,2,12,both,"Santa Barbara Channel, CA, USA",204,"OR, USA","Baja California, Mexico",,"Romaleon antennarium, Cancer antennarium",Romaleon antennarium,,"Romaleon antennarium, Cancer antennarium, Cancer antennarius",,"(Romaleon SAME antennarium SAME parasit*), (Cancer SAME antennarius SAME parasit*), (Cancer SAME antennarium SAME parasit*)",1,,NA,"(Cancer SAME antennarius), (Cancer SAME antennarium), (Romaleon SAME antennarium)",113,NA
177,141,1,Adult,141.1,Loxorhynchus.grandis.141.1,L,free.living,Crustacea,large crab,sheep crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,grandis,Loxorhynchus.grandis,Species,rock,Scavenger,Predator,Mobile,4,1,1; 2,warm,"LTER sites, Santa Barbara Channel, CA, USA",882,"Cordell Bank, Marin County, CA, USA","Punta Bartolome, Baja California, Mexico",,none,Loxorhynchus grandis,,Loxorhynchus grandis,Loxorhynchus parasite,(Loxorhynchus SAME grandis SAME parasit*),1,0,NA,(Loxorhynchus SAME grandis),12,NA
178,141,4,juvenile,141.4,Loxorhynchus.grandis.141.4,L,free.living,Crustacea,large crab,sheep crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,grandis,Loxorhynchus.grandis,Species,rock,Scavenger,Predator,Mobile,4,2,12,warm,"LTER sites, Santa Barbara Channel, CA, USA",882,"Cordell Bank, Marin County, CA, USA","Punta Bartolome, Baja California, Mexico",,none,Loxorhynchus grandis,,Loxorhynchus grandis,,(Loxorhynchus SAME grandis SAME parasit*),1,,NA,(Loxorhynchus SAME grandis),12,NA
179,142,1,Adult,142.1,Loxorhynchus.crispatus.142.1,L,free.living,Crustacea,large crab,decorator crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,crispatus,Loxorhynchus.crispatus,Species,benthic substrate,Predator,Predator,Mobile,4,1,1; 3,both,"Santa Barbara Channel, CA, USA",153,"Redding Rock, Humboldt County, CA, USA","Isla Natividad, Baja California, Mexico",,none,Loxorhynchus crispatus,,Loxorhynchus,Loxorhynchus parasite,(Loxorhynchus SAME parasit*),1,0,NA,Loxorhynchus,9,NA
180,142,4,juvenile,142.4,Loxorhynchus.crispatus.142.4,L,free.living,Crustacea,large crab,decorator crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,crispatus,Loxorhynchus.crispatus,Species,benthic substrate,Predator,Predator,Mobile,4,2,12,both,"Santa Barbara Channel, CA, USA",153,"Redding Rock, Humboldt County, CA, USA","Isla Natividad, Baja California, Mexico",,none,Loxorhynchus crispatus,,,,,NA,,NA,,,NA
181,143,1,Adult,143.1,Pugettia.producta.143.1,L,free.living,Crustacea,large crab,kelp crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,producta,Pugettia.producta,Species,kelp-fronds,Herbivore,Micropredator,Mobile,4,1,1; 2,both,"LTER sites, Santa Barbara Channel, CA, USA",882; 394,"AK, USA","Baja California, Mexico",,Epialtus productus,Pugettia producta,,"Pugettia producta, Epialtus productus",,"(Pugettia SAME producta SAME parasit*), (Epialtus SAME productus SAME parasit*)",6,1,NA,"(Pugettia SAME producta), (Epialtus SAME productus)",57,NA
182,143,4,juvenile,143.4,Pugettia.producta.143.4,L,free.living,Crustacea,large crab,kelp crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,producta,Pugettia.producta,Species,kelp-fronds,Herbivore,Micropredator,Mobile,4,2,12,both,"LTER sites, Santa Barbara Channel, CA, USA",882,"AK, USA","Baja California, Mexico",,Epialtus productus,Pugettia producta,,"Pugettia producta, Epialtus productus",,"(Pugettia SAME producta SAME parasit*), (Epialtus SAME productus SAME parasit*)",6,1,NA,"(Pugettia SAME producta), (Epialtus SAME productus)",57,NA
183,144,1,Adult,144.1,Panulirus.interruptus.144.1,L,free.living,Crustacea,lobster,spiny lobster,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,interruptus,Panulirus.interruptus,Species,rock,Predator,Predator,Mobile,4,1,1; 2,warm,"LTER sites, Santa Barbara Channel, CA, USA",842; 882; 843,"Point Conception, CA, USA","Baja California, Mexico",,Palinurus interruptus,Panulirus interruptus,,"Panulirus interruptus, Palinurus interruptus",,"(Panulirus SAME interruptus SAME parasit*), (Palinurus SAME interruptus SAME parasit*)",2,,NA,"(Panulirus SAME interruptus), (Palinurus SAME interruptus SAME parasit*)",573,NA
184,144,4,juvenile,144.4,Panulirus.interruptus.144.4,L,free.living,Crustacea,lobster,spiny lobster,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,interruptus,Panulirus.interruptus,Species,rock,Predator,Predator,Mobile,4,3,12,warm,"LTER sites, Santa Barbara Channel, CA, USA",882,"Point Conception, CA, USA","Baja California, Mexico",,Palinurus interruptus,Panulirus interruptus,,"Panulirus interruptus, Palinurus interruptus",,"(Panulirus SAME interruptus SAME parasit*), (Palinurus SAME interruptus SAME parasit*)",2,,NA,"(Panulirus SAME interruptus), (Palinurus SAME interruptus SAME parasit*)",573,NA
185,145,1,Adult,145.1,Leuroleberis.sharpei.145.1,L,free.living,Crustacea,ostracod,ostracod,Arthropoda,Ostracoda,Myodocopida,Cylindroleberididae,Leuroleberis,sharpei,Leuroleberis.sharpei,Genus,sand,Scavenger,Predator,Mobile,1,2,3,warm,"Catalina Island, Channel Islands, CA, USA",167,"Monterey, CA, USA","Baja California, Mexico",,none,Leuroleberis sharpei,,Leuroleberis,Leuroleberis parasite,Leuroleberis SAME parasit*,0,0,NA,Leuroleberis,2,NA
186,146,1,Adult,146.1,Macrocyprina.barbara.146.1,L,free.living,Crustacea,ostracod,ostracod,Arthropoda,Ostracoda,Podocopida,Macrocyprididae,Macrocyprina,barbara,Macrocyprina.barbara,species,benthic substrate,Detritivore,Predator,Mobile,1,2,3,warm,"Catalina Island, Channel Islands, CA, USA",407,"Point Conception, CA, USA","Baja California, Mexico",,none,,,Macrocyprina,Macrocyprina parasite,Macrocyprina SAME parasit*,0,0,NA,Macrocyprina,5,NA
187,147,1,Adult,147.1,Macrocyprina.pacifica.147.1,L,free.living,Crustacea,ostracod,ostracod,Arthropoda,Ostracoda,Podocopida,Macrocyprididae,Macrocyprina,pacifica,Macrocyprina.pacifica,species,kelp-fronds,Detritivore,Predator,Mobile,1,1,3,warm,"Catalina Island, Channel Islands, CA, USA",187,"Southern California, CA, USA","Baja California, Mexico",,Paracypris pacifica,,,Macrocyprina,Macrocyprina parasite,Macrocyprina SAME parasit*,0,0,NA,Macrocyprina,5,NA
188,148,1,Adult,148.1,Neonesidea.phlegeri.148.1,L,free.living,Crustacea,ostracod,ostracod,Arthropoda,Ostracoda,Podocopida,Bairdiidae,Neonesidea,phlegeri,Neonesidea.phlegeri,species,benthic substrate,Detritivore,Predator,Mobile,1,2,3,warm,"Catalina Island, Channel Islands, CA, USA",407,"Point Conception, CA, USA","Baja California, Mexico",,Bairdia phlegeri,,,Neonesidea,Neonesidea parasite,Neonesidea SAME parasit*,0,0,NA,Neonesidea,20,NA
189,149,1,Adult,149.1,Rutiderma.spp..149.1,L,free.living,Crustacea,ostracod,ostracod,Arthropoda,Ostracoda,Myodocopida,Rutidermatidae,Rutiderma,spp.,Rutiderma.spp.,Genus,benthic substrate,Detritivore,Predator,Mobile,1,2,3,warm,"Catalina Island, Channel Islands, CA, USA",167,"Point Conception, CA, USA",El Salvador,,na,,,Rutiderma,Rutiderma parasite,Rutiderma SAME parasit*,0,0,NA,Rutiderma,2,NA
190,150,1,Adult,150.1,subfamilyCylindroleberididae.sp.150.1,L,free.living,Crustacea,ostracod,ostracod,Arthropoda,Ostracoda,Myodocopida,Cylindroleberididae,subfamilyCylindroleberididae,sp,subfamilyCylindroleberididae.sp,SubFamily,sand,Detritivore,Predator,Mobile,1,2,3,both,"Catalina Island, Channel Islands, CA, USA",407,"British Columbia, Canada ","Baja California, Mexico",,na,,,,,,NA,,NA,,,NA
191,151,1,Adult,151.1,Vargula.tsujii.151.1,L,free.living,Crustacea,ostracod,ostracod,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Vargula,tsujii,Vargula.tsujii,species,sand,Predator,Micropredator,Mobile,1,2,3,warm,"Catalina Island, Channel Islands, CA, USA",407; 937,"Monterey, CA, USA","Baja California, Mexico",,none,,,Vargula,vargula parasite,Vargula SAME parasit*,4,0,NA,Vargula,117,NA
192,152,1,Adult,152.1,Alpheus.clamator.152.1,L,free.living,Crustacea,shrimp,pistol shrimp,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,clamator,Alpheus.clamator,Species,Holdfast,Predator,Predator,Mobile,1,1,1; 3,warm,"Catalina Island, Channel Islands, CA, USA",406; 407,"Point Conception, CA, USA","Baja California, Mexico",,"Alphaeus ??(misspelling?), Alpheus barbara, Alpheus transverso-dactylus, Crangon dentipes",,,"Alpheus, crangon dentipes","Alpheus parasite, ""crangon dentipes"" parasite","Alpheus SAME parasit*, crangon SAME dentipes",8,0,NA,"Alpheus, crangon SAME dentipes",371,NA
193,153,1,Adult,153.1,Betaeus.longidactylus.153.1,L,free.living,Crustacea,shrimp,tidepool shrimp,Arthropoda,Malacostraca,Decapoda,Alpheidae,Betaeus,longidactylus,Betaeus.longidactylus,species,Holdfast,Detritivore,Predator,Mobile,1,1,1; 3,warm,"Santa Barbara Channel, CA, USA",373; 693,"Monterey, CA, USA","Baja California, Mexico",,none,,,Betaeus,Betaeus parasite,Betaeus SAME parasit*,0,0,NA,Betaeus,23,NA
194,154,1,Adult,154.1,Eualus.lineatus.154.1,L,free.living,Crustacea,shrimp,Shrimp Natantians,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,lineatus,Eualus.lineatus,Species,kelp-fronds,Detritivore,Predator,Mobile,1,2,3,cold,"Catalina Island, Channel Islands, CA, USA",406; 407,"AK, USA","Santa Cruz Island, Channel Islands, CA, USA",,"Eualus herdmani, Spirontocaris herdmani",,,Eualus,Eualus parasite,Eualus SAME parasit*,2,0,NA,Eualus,44,NA
195,155,1,Adult,155.1,Heptacarpus.palpator.155.1,L,free.living,Crustacea,shrimp,Heptacarpus shrimp,Arthropoda,Malacostraca,Decapoda,Thoridae,Heptacarpus,palpator,Heptacarpus.palpator,species,benthic substrate,Detritivore,Predator,Mobile,1,2,3,warm,"CA, USA",1015,"Point Conception, CA, USA","Baja California, Mexico",,"Hippolyte hemphillii, Hippolyte palpator",,,Heptacarpus,Heptacarpus parasite,Heptacarpus SAME parasit*,2,0,NA,Heptacarpus,30,NA
196,156,1,Adult,156.1,Heptacarpus.fuscimaculatus.156.1,L,free.living,Crustacea,shrimp,Shrimp Natantians,Arthropoda,Malacostraca,Decapoda,Thoridae,Heptacarpus,fuscimaculatus,Heptacarpus.fuscimaculatus,Species,kelp-fronds,Detritivore,Predator,Mobile,1,2,3,warm,"Channel Islands, CA, USA",406; 407,"Channel Islands, CA, USA","Baja California, Mexico",,none,Heptacarpus fuscimaculatus,,Heptacarpus,Heptacarpus parasite,Heptacarpus SAME parasit*,2,0,NA,Heptacarpus,30,NA
197,157,1,Adult,157.1,Hippolyte.clarki.157.1,L,free.living,Crustacea,shrimp,Kelp humpback shrimp,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Hippolyte,clarki,Hippolyte.clarki,Species,kelp-fronds,Predator,Micropredator,Mobile,1,1,1; 3,both,"LTER sites, Santa Barbara Channel, CA, USA",406; 407,"Sheep Bay, AK, USA","Isla Cedros, Baja California, Mexico",,none,,,Hippolyte,Hippolyte parasite,Hippolyte SAME parasit*,5,4,NA,Hippolyte,422,NA
198,158,1,Adult,158.1,Lysmata.californica.158.1,L,free.living,Crustacea,shrimp,red rock shrimp,Arthropoda,Malacostraca,Decapoda,Lysmatidae,Lysmata,californica,Lysmata.californica,Species,benthic substrate,Predator,Predator,Mobile,1,1,1; 3,warm,"CA, USA",1015; 406; 407,"Santa Barbara, CA, USA","Baja California, Mexico",,"Hippolysmata californica, Hippolyte lineata",,,Lysmata,"Lysmata parasite, ""Hippolysmata californica"" parasite",Lysmata SAME parasit*,8,0,NA,Lysmata,239,NA
199,159,1,Adult,159.1,Fabia.subquadrata.159.1,L,symbiont,Crustacea,small crab,mussel pea crab,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Fabia,subquadrata,Fabia.subquadrata,Species,External.Host,Omnivore,Predator,Mobile,5,1,1,both,"Channel Islands, CA, USA",153,"AK, USA","Baja California, Mexico",,none,,,Fabia,"""Fabia subquadrata"" parasite",(Fabia SAME parasit*),3,0,NA,Fabia,84,NA
200,160,1,Adult,160.1,Herbstia.parvifrons.160.1,L,free.living,Crustacea,small crab,reptantians-crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Herbstia,parvifrons,Herbstia.parvifrons,Species,rock,Omnivore,Predator,Mobile,5,1,1; 3,warm,"Santa Barbara Channel, CA, USA",406; 407,"Monterey, CA, USA","Baja California, Mexico",,none,,,Herbstia,Herbstia parasite,Herbstia SAME parasit*,0,0,NA,Herbstia,7,NA
201,161,1,Adult,161.1,Lophopanopeus.bellus.161.1,L,free.living,Crustacea,small crab,black-clawed crab,Arthropoda,Malacostraca,Decapoda,Xanthidae,Lophopanopeus,bellus,Lophopanopeus.bellus,Species,Holdfast,Omnivore,Predator,Mobile,1,1,1; 3,both,"Santa Barbara Channel, CA, USA",693; 1015,"AK, USA","Baja California, Mexico",,"Xantho bellus, Xantho hemphilliana, Xanthodes hemphillii",,,"Lophopanopeus, Xantho","Lophopanopeus parasite, ""Xantho bellus"" parasite, ""Xantho hemphilliana"" parasite, ""Xanthodes hemphillii"" parasite","Lophopanopeus SAME parasit*, Xantho SAME parasit*",3,0,NA,"Lophopanopeus, Xantho",118,NA
